title,price,image
Website Developer Platinum (Fu...,[<Selector xpath='descendant-or-self::strong/text()' data='Rp. 4.000.000'>],"<bound method Selector.css of <Selector xpath=""descendant-or-self::div[@class and contains(concat(' ', normalize-space(@class), ' '), ' course__box ')]"" data='<div class=""course__box"">            ...'>>"
Php Platinum (Back End),[<Selector xpath='descendant-or-self::strong/text()' data='Rp. 3.000.000'>],"<bound method Selector.css of <Selector xpath=""descendant-or-self::div[@class and contains(concat(' ', normalize-space(@class), ' '), ' course__box ')]"" data='<div class=""course__box"">            ...'>>"
Microsoft Platinum (Lengkap),[<Selector xpath='descendant-or-self::strong/text()' data='Rp. 1.200.000'>],"<bound method Selector.css of <Selector xpath=""descendant-or-self::div[@class and contains(concat(' ', normalize-space(@class), ' '), ' course__box ')]"" data='<div class=""course__box"">            ...'>>"
Internet Marketing Platinum (L...,[<Selector xpath='descendant-or-self::strong/text()' data='Rp. 4.000.000'>],"<bound method Selector.css of <Selector xpath=""descendant-or-self::div[@class and contains(concat(' ', normalize-space(@class), ' '), ' course__box ')]"" data='<div class=""course__box"">            ...'>>"
Paket Kursus Seo Pro,[<Selector xpath='descendant-or-self::strong/text()' data='Rp. 2.200.000'>],"<bound method Selector.css of <Selector xpath=""descendant-or-self::div[@class and contains(concat(' ', normalize-space(@class), ' '), ' course__box ')]"" data='<div class=""course__box"">            ...'>>"
Design Grafis Platinum (Lengka...,[<Selector xpath='descendant-or-self::strong/text()' data='Rp. 1.500.000'>],"<bound method Selector.css of <Selector xpath=""descendant-or-self::div[@class and contains(concat(' ', normalize-space(@class), ' '), ' course__box ')]"" data='<div class=""course__box"">            ...'>>"
Web Design (Front End),[<Selector xpath='descendant-or-self::strong/text()' data='Rp. 3.000.000'>],"<bound method Selector.css of <Selector xpath=""descendant-or-self::div[@class and contains(concat(' ', normalize-space(@class), ' '), ' course__box ')]"" data='<div class=""course__box"">            ...'>>"
Mobile Apps Developer,[<Selector xpath='descendant-or-self::strong/text()' data='Rp. 3.000.000'>],"<bound method Selector.css of <Selector xpath=""descendant-or-self::div[@class and contains(concat(' ', normalize-space(@class), ' '), ' course__box ')]"" data='<div class=""course__box"">            ...'>>"
Membangun Corporate Website Me...,[<Selector xpath='descendant-or-self::strong/text()' data='Rp. 1.000.000'>],"<bound method Selector.css of <Selector xpath=""descendant-or-self::div[@class and contains(concat(' ', normalize-space(@class), ' '), ' course__box ')]"" data='<div class=""course__box"">            ...'>>"
"Membuat Logo, Banner, Web Slic...",[<Selector xpath='descendant-or-self::strong/text()' data='Rp. 1.000.000'>],"<bound method Selector.css of <Selector xpath=""descendant-or-self::div[@class and contains(concat(' ', normalize-space(@class), ' '), ' course__box ')]"" data='<div class=""course__box"">            ...'>>"
Membuat Cover Majalah Dan Desa...,[<Selector xpath='descendant-or-self::strong/text()' data='Rp. 1.000.000'>],"<bound method Selector.css of <Selector xpath=""descendant-or-self::div[@class and contains(concat(' ', normalize-space(@class), ' '), ' course__box ')]"" data='<div class=""course__box"">            ...'>>"
Microsoft Word,[<Selector xpath='descendant-or-self::strong/text()' data='Rp. 1.000.000'>],"<bound method Selector.css of <Selector xpath=""descendant-or-self::div[@class and contains(concat(' ', normalize-space(@class), ' '), ' course__box ')]"" data='<div class=""course__box"">            ...'>>"
